Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,Christian McCaffrey,CAR,13,27,RB,RB1,1.3
2,Dalvin Cook,MIN,7,27,RB,RB2,2.5
3,Alvin Kamara,NO,6,28,RB,RB3,3.1
4,Davante Adams,GB,13,30,WR,WR1,4.5
5,Ezekiel Elliott,DAL,7,28,RB,RB4,5.3
6,Derrick Henry,TEN,13,29,RB,RB5,6.4
7,Austin Ekeler,LAC,7,28,RB,RB6,6.5
8,Travis Kelce,KC,12,33,TE,TE1,6.9
9,Aaron Jones,GB,13,28,RB,RB7,9
10,Tyreek Hill,KC,12,29,WR,WR2,9.3
11,Nick Chubb,CLE,13,27,RB,RB8,10.4
12,Najee Harris,PIT,7,25,RB,RB9,11.6
13,Saquon Barkley,NYG,10,26,RB,RB10,12.4
14,Stefon Diggs,BUF,7,29,WR,WR3,13
15,Jonathan Taylor,IND,14,24,RB,RB11,13.2
16,Antonio Gibson,WAS,9,25,RB,RB12,14.8
17,DeAndre Hopkins,ARI,12,31,WR,WR4,16.7
18,Calvin Ridley,ATL,6,28,WR,WR5,17.9
19,DK Metcalf,SEA,9,25,WR,WR6,18.5
20,Joe Mixon,CIN,10,27,RB,RB13,19.4
21,Clyde Edwards-Helaire,KC,12,24,RB,RB14,19.7
22,Patrick Mahomes II,KC,12,27,QB,QB1,19.8
23,Darren Waller,LV,8,30,TE,TE2,21.6
24,Justin Jefferson,MIN,7,24,WR,WR7,22.6
25,A.J. Brown,TEN,13,26,WR,WR8,24.1
26,David Montgomery,CHI,10,26,RB,RB15,25.4
27,Keenan Allen,LAC,7,31,WR,WR9,25.9
28,James Robinson,JAX,7,24,RB,RB16,27.1
29,Chris Carson,SEA,9,28,RB,RB17,27.4
30,Terry McLaurin,WAS,9,27,WR,WR10,28.6
31,George Kittle,SF,6,29,TE,TE3,30.4
32,CeeDee Lamb,DAL,7,24,WR,WR11,30.9
33,Josh Allen,BUF,7,27,QB,QB2,32.5
34,Allen Robinson II,CHI,10,29,WR,WR12,33
35,Josh Jacobs,LV,8,25,RB,RB18,33.1
36,D'Andre Swift,DET,9,24,RB,RB19,34.8
37,Robert Woods,LAR,11,31,WR,WR13,35.6
38,Miles Sanders,PHI,14,26,RB,RB20,37.6
39,Mike Evans,TB,9,29,WR,WR14,38.2
40,Myles Gaskin,MIA,14,26,RB,RB21,39.2
41,Amari Cooper,DAL,7,29,WR,WR15,39.4
42,Kyle Pitts,ATL,6,22,TE,TE4,40.1
43,Kyler Murray,ARI,12,25,QB,QB3,41.7
44,Mike Davis,ATL,6,30,RB,RB22,42.2
45,Gus Edwards,BAL,8,28,RB,RB23,43.2
46,Cooper Kupp,LAR,11,30,WR,WR16,44
47,Diontae Johnson,PIT,7,27,WR,WR17,44.8
48,Chris Godwin,TB,9,27,WR,WR18,46.8
49,Darrell Henderson Jr.,LAR,11,25,RB,RB24,47.8
50,Tyler Lockett,SEA,9,30,WR,WR19,48.7
51,Lamar Jackson,BAL,8,26,QB,QB4,50.1
52,Julio Jones,TEN,13,34,WR,WR20,50.3
53,Mark Andrews,BAL,8,27,TE,TE5,50.6
54,Javonte Williams,DEN,11,23,RB,RB25,51.7
55,Damien Harris,NE,14,26,RB,RB26,52.4
56,Adam Thielen,MIN,7,32,WR,WR21,53.9
57,Aaron Rodgers,GB,13,39,QB,QB5,54.1
58,Brandon Aiyuk,SF,6,25,WR,WR22,54.5
59,T.J. Hockenson,DET,9,26,TE,TE6,55.4
60,Raheem Mostert,SF,6,31,RB,RB27,57.5
61,DJ Moore,CAR,13,26,WR,WR23,59.1
62,Kareem Hunt,CLE,13,27,RB,RB28,59.7
63,Tee Higgins,CIN,10,24,WR,WR24,60.1
64,Chase Edmonds,ARI,12,27,RB,RB29,62.3
65,Jerry Jeudy,DEN,11,24,WR,WR25,63.1
66,Dak Prescott,DAL,7,30,QB,QB6,64.3
67,Chase Claypool,PIT,7,25,WR,WR26,65.5
68,Logan Thomas,WAS,9,32,TE,TE7,65.7
69,Russell Wilson,SEA,9,34,QB,QB7,66.3
70,Odell Beckham Jr.,CLE,13,30,WR,WR27,68.7
71,Trey Sermon,SF,6,24,RB,RB30,68.8
72,Justin Herbert,LAC,7,25,QB,QB8,70.1
73,Melvin Gordon III,DEN,11,30,RB,RB31,71.6
74,Antonio Brown,TB,9,35,WR,WR28,72.5
75,Robbie Chosen,CAR,13,30,WR,WR29,74.9
75,DeVonta Smith,PHI,14,24,WR,WR30,74.9
77,Tom Brady,TB,9,45,QB,QB9,75.2
78,Michael Thomas,NO,6,30,WR,WR31,75.4
79,Laviska Shenault Jr.,JAX,7,24,WR,WR32,76.9
80,Noah Fant,DEN,11,25,TE,TE8,77.9
81,Michael Carter,NYJ,6,24,RB,RB32,78.1
82,Marquez Callaway,NO,6,25,WR,WR33,79.3
83,Ronald Jones,TB,9,25,RB,RB33,80
84,AJ Dillon,GB,13,25,RB,RB34,81.5
85,Robert Tonyan,GB,13,29,TE,TE9,83.8
86,Sony Michel,LAR,11,28,RB,RB35,83.9
87,JuJu Smith-Schuster,PIT,7,26,WR,WR34,84.7
88,Courtland Sutton,DEN,11,27,WR,WR35,85.5
89,Tyler Higbee,LAR,11,30,TE,TE10,87.1
90,Matthew Stafford,LAR,11,35,QB,QB10,87.2
91,Ja'Marr Chase,CIN,10,23,WR,WR36,87.4
92,Zack Moss,BUF,7,25,RB,RB36,88.1
92,Jamaal Williams,DET,9,28,RB,RB37,88.1
94,Corey Davis,NYJ,6,28,WR,WR37,88.3
95,Devin Singletary,BUF,7,25,RB,RB38,91.6
96,Deebo Samuel,SF,6,27,WR,WR38,92.7
97,Ryan Tannehill,TEN,13,35,QB,QB11,94.7
98,Jalen Hurts,PHI,14,24,QB,QB12,94.8
99,Tyler Boyd,CIN,10,28,WR,WR39,96.3
100,Michael Pittman Jr.,IND,14,25,WR,WR40,97.3
101,Kenny Golladay,NYG,10,29,WR,WR41,97.6
102,James Conner,ARI,12,28,RB,RB39,97.9
103,Leonard Fournette,TB,9,28,RB,RB40,98.9
104,Jaylen Waddle,MIA,14,24,WR,WR42,100.7
105,Kenyan Drake,LV,8,29,RB,RB41,101.6
106,Dallas Goedert,PHI,14,28,TE,TE11,102.2
107,Brandin Cooks,HOU,10,29,WR,WR43,103
108,Phillip Lindsay,HOU,10,29,RB,RB42,103.4
109,Jakobi Meyers,NE,14,26,WR,WR44,103.6
110,Pittsburgh Steelers,PIT,7,null,DST,DST1,104.5
111,Mike Gesicki,MIA,14,27,TE,TE12,106.1
112,Nyheim Hines,IND,14,26,RB,RB43,106.4
113,Mecole Hardman Jr.,KC,12,25,WR,WR45,108.8
114,Darnell Mooney,CHI,10,25,WR,WR46,109.6
114,Los Angeles Rams,LAR,11,null,DST,DST2,109.6
116,Joe Burrow,CIN,10,26,QB,QB13,113.4
117,Tampa Bay Buccaneers,TB,9,null,DST,DST3,113.7
118,DJ Chark Jr.,JAX,7,26,WR,WR47,117.4
119,Jonnu Smith,NE,14,27,TE,TE13,118.4
120,Rhamondre Stevenson,NE,14,25,RB,RB44,119.4
121,Mike Williams,LAC,7,28,WR,WR48,119.7
121,J.D. McKissic,WAS,9,29,RB,RB45,119.7
123,James White,NE,14,31,RB,RB46,121.3
