Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,Saquon Barkley,NYG,11,26,RB,RB1,1.4
2,Alvin Kamara,NO,9,28,RB,RB2,2.5
3,Christian McCaffrey,CAR,7,27,RB,RB3,3.2
4,Ezekiel Elliott,DAL,8,28,RB,RB4,3.9
5,Davante Adams,GB,11,30,WR,WR1,6.4
6,DeAndre Hopkins,HOU,10,31,WR,WR2,7
7,James Conner,PIT,7,28,RB,RB5,7.1
7,David Johnson,ARI,12,31,RB,RB6,7.1
9,Le'Veon Bell,NYJ,4,31,RB,RB7,8.8
10,Julio Jones,ATL,9,34,WR,WR3,10.2
11,Michael Thomas,NO,9,30,WR,WR4,10.4
12,Nick Chubb,CLE,7,27,RB,RB8,11.7
13,JuJu Smith-Schuster,PIT,7,26,WR,WR5,12.9
14,Tyreek Hill,KC,12,29,WR,WR6,13.9
15,Dalvin Cook,MIN,12,27,RB,RB9,14.6
16,Odell Beckham Jr.,CLE,7,30,WR,WR7,15.1
17,Todd Gurley II,LAR,9,28,RB,RB10,16
18,Travis Kelce,KC,12,33,TE,TE1,17.1
19,Joe Mixon,CIN,9,27,RB,RB11,18.4
20,Patrick Mahomes II,KC,12,27,QB,QB1,19.3
21,Mike Evans,TB,7,29,WR,WR8,20.2
22,Antonio Brown,LV,6,35,WR,WR9,21.4
23,Adam Thielen,MIN,12,32,WR,WR10,22.9
24,Leonard Fournette,JAX,10,28,RB,RB12,23.2
25,Keenan Allen,LAC,12,31,WR,WR11,25
26,Damien Williams,KC,12,31,RB,RB13,25.5
27,Chris Carson,SEA,11,28,RB,RB14,26.5
28,George Kittle,SF,4,29,TE,TE2,28.3
29,Kerryon Johnson,DET,5,26,RB,RB15,28.5
30,Aaron Jones,GB,11,28,RB,RB16,29.2
31,Devonta Freeman,ATL,9,31,RB,RB17,30.4
32,Stefon Diggs,MIN,12,29,WR,WR12,30.8
33,David Montgomery,CHI,6,26,RB,RB18,31.3
34,Josh Jacobs,LV,6,25,RB,RB19,33.1
34,Amari Cooper,DAL,8,29,WR,WR13,33.1
36,Zach Ertz,PHI,10,32,TE,TE3,33.5
37,Julian Edelman,NE,10,37,WR,WR14,36.1
38,Sony Michel,NE,10,28,RB,RB20,37.4
39,Brandin Cooks,LAR,9,29,WR,WR15,39.1
40,Mark Ingram II,BAL,8,33,RB,RB21,39.7
41,Chris Godwin,TB,7,27,WR,WR16,39.9
42,Melvin Gordon III,LAC,12,30,RB,RB22,42
43,Robert Woods,LAR,9,31,WR,WR17,42.2
44,Tyler Lockett,SEA,11,30,WR,WR18,42.9
45,Derrick Henry,TEN,11,29,RB,RB23,43.8
46,Cooper Kupp,LAR,9,30,WR,WR19,45.2
47,Marlon Mack,IND,6,27,RB,RB24,46.5
48,Deshaun Watson,HOU,10,27,QB,QB2,47.1
48,Kenny Golladay,DET,5,29,WR,WR20,47.1
50,James White,NE,10,31,RB,RB25,48.1
51,T.Y. Hilton,IND,6,33,WR,WR21,49
52,Tyler Boyd,CIN,9,28,WR,WR22,51.5
53,Duke Johnson,HOU,10,29,RB,RB26,51.7
54,Josh Gordon,NE,10,32,WR,WR23,52.1
55,Calvin Ridley,ATL,9,28,WR,WR24,53.5
56,O.J. Howard,TB,7,28,TE,TE4,54.1
57,Phillip Lindsay,DEN,10,29,RB,RB27,55.6
58,Aaron Rodgers,GB,11,39,QB,QB3,55.7
59,Evan Engram,NYG,11,28,TE,TE5,57.3
60,Tevin Coleman,SF,4,30,RB,RB28,57.7
61,Miles Sanders,PHI,10,26,RB,RB29,59
62,Mike Williams,LAC,12,28,WR,WR25,60.3
63,Austin Ekeler,LAC,12,28,RB,RB30,61.7
64,Dede Westbrook,JAX,10,29,WR,WR26,62.7
65,Baker Mayfield,CLE,7,28,QB,QB4,63.2
66,Hunter Henry,LAC,12,28,TE,TE6,63.3
67,A.J. Green,CIN,9,35,WR,WR27,63.8
68,Jarvis Landry,CLE,7,30,WR,WR28,64.8
69,DJ Moore,CAR,7,26,WR,WR29,67.2
70,Matt Ryan,ATL,9,38,QB,QB5,69.2
71,Derrius Guice,WAS,10,26,RB,RB31,69.8
72,Lamar Miller,HOU,10,32,RB,RB32,70.4
73,Jared Cook,NO,9,36,TE,TE7,70.6
74,Tarik Cohen,CHI,6,28,RB,RB33,71
75,Alshon Jeffery,PHI,10,33,WR,WR30,71.9
76,Drew Brees,NO,9,44,QB,QB6,73.9
77,Carson Wentz,PHI,10,30,QB,QB7,74.6
78,Vance McDonald,PIT,7,33,TE,TE8,75.1
79,Robbie Chosen,NYJ,4,30,WR,WR31,75.9
80,Latavius Murray,NO,9,33,RB,RB34,76.4
81,Allen Robinson II,CHI,6,29,WR,WR32,76.6
82,Emmanuel Sanders,DEN,10,36,WR,WR33,80.6
83,Jared Goff,LAR,9,28,QB,QB8,81.5
84,William Fuller V,HOU,10,29,WR,WR34,81.6
85,Kenyan Drake,MIA,5,29,RB,RB35,82.9
86,Tony Pollard,DAL,8,26,RB,RB36,83.3
87,David Njoku,CLE,7,27,TE,TE9,83.5
88,Devin Singletary,BUF,6,25,RB,RB37,83.9
89,Matt Breida,SF,4,28,RB,RB38,84.8
90,Darwin Thompson,KC,12,26,RB,RB39,86
91,Andrew Luck,IND,6,33,QB,QB9,87.8
92,Curtis Samuel,CAR,7,26,WR,WR35,88
93,Russell Wilson,SEA,11,34,QB,QB10,88.4
94,Christian Kirk,ARI,12,26,WR,WR36,89.9
95,LeSean McCoy,KC,12,35,RB,RB40,90.8
96,Sterling Shepard,NYG,11,30,WR,WR37,92.2
97,Chicago Bears,CHI,6,null,DST,DST1,92.4
98,Darrell Henderson Jr.,LAR,9,25,RB,RB41,93
99,Cam Newton,CAR,7,34,QB,QB11,94.4
100,Rashaad Penny,SEA,11,27,RB,RB42,95.3
101,Austin Hooper,ATL,9,28,TE,TE10,95.4
102,Sammy Watkins,KC,12,30,WR,WR38,96.1
103,Lamar Jackson,BAL,8,26,QB,QB12,97.6
104,Geronimo Allison,GB,11,29,WR,WR39,98.7
105,Marquez Valdes-Scantling,GB,11,28,WR,WR40,100.6
106,Kareem Hunt,CLE,7,27,RB,RB43,100.8
107,James Washington,PIT,7,27,WR,WR41,101.3
108,Jordan Howard,PHI,10,28,RB,RB44,103.7
109,Jameis Winston,TB,7,29,QB,QB13,105.1
110,Marvin Jones Jr.,DET,5,33,WR,WR42,105.3
111,Los Angeles Rams,LAR,9,null,DST,DST2,105.6
112,Larry Fitzgerald,ARI,12,39,WR,WR43,106.5
113,Ben Roethlisberger,PIT,7,41,QB,QB14,106.8
114,Royce Freeman,DEN,10,27,RB,RB45,108.1
115,Jacksonville Jaguars,JAX,10,null,DST,DST3,109.3
116,Dante Pettis,SF,4,27,WR,WR44,109.8
117,Corey Davis,TEN,11,28,WR,WR45,110.8
118,Kyler Murray,ARI,12,25,QB,QB15,110.9
119,Kalen Ballage,MIA,5,27,RB,RB46,113.5
120,Michael Gallup,DAL,8,27,WR,WR46,113.8
